oddscheck_team_name,db_club_id,db_club_name,match_count,avg_confidence,avg_fuzzy_score
Union de Santa Fe,7097,CA Unión (Santa Fe),3,86.75,72
Unirea Slobozia,29700,AFC Unirea 04 Slobozia,3,86.75,81
Pro Vercelli,26789,FC Pro Vercelli 1892,3,86.75,75
Club America,3631,CF América,3,86.83,73
East Fife,3024,East Fife FC,3,86.83,86
Ath Bilbao,621,Athletic Bilbao,3,86.83,80
Granada,16795,Granada CF,3,86.83,82
Monaco,162,AS Monaco,3,86.83,80
Zawisza,7153,Zawisza Bydgoszcz,3,86.92,58
Leeds,399,Leeds United,3,86.92,59
Malaga,1084,Málaga CF,3,86.92,67
Nantes,995,FC Nantes,3,86.92,80
Eupen,1245,KAS Eupen,3,86.92,71
Man United,985,Manchester United,3,87,74
Cardiff,603,Cardiff City,3,87,74
Reggina,1386,Reggina Calcio,3,87,67
Mantova,2581,Mantova 1911,3,87,74
Sevilla B,8519,Sevilla Atlético,3,87,64
Larisa,4603,AE Larisa,3,87,80
Niki Volos,5572,Niki Volou,3,87,90
Kifisia,30120,AE Kifisias,3,87,78
Liaoning,1079,Liaoning FC,3,87.08,84
Chongqing Liangjiang Athletic,1326,Chongqing Lifan,3,87.08,64
Servette,61,Servette FC,3,87.08,84
Palermo,458,US Palermo,3,87.08,82
Ibiza,13241,UD Ibiza,3,87.08,77
Graafschap,642,De Graafschap Doetinchem,3,87.08,59
Sogndal,2038,Sogndal IL,3,87.17,82
Bodo/Glimt,501,FK Bodø/Glimt,3,87.17,78
Sion,321,FC Sion,3,87.17,73
Benevento,4171,Benevento Calcio,3,87.17,72
Vannes,1377,Vannes OC,3,87.17,80
Red Star,1154,Red Star FC,3,87.17,84
Queen of Sth,3001,Queen of the South FC,3,87.25,73
Stuttgart,79,VfB Stuttgart,3,87.25,82
Hertha,44,Hertha BSC,3,87.25,75
Sevilla,368,Sevilla FC,3,87.25,82
Castellon,2502,CD Castellón,3,87.25,76
Waregem,3508,Zulte Waregem,3,87.25,70
Beira Mar,1436,SC Beira-Mar,3,87.25,76
BW Linz,2157,FC Blau-Weiss Linz,3,87.33,56
Guangzhou City,18916,Guangzhou R&F,3,87.33,74
Vaduz,163,FC Vaduz,3,87.33,77
Man City,281,Manchester City,3,87.33,70
Doncaster,2454,Doncaster Rovers,3,87.33,72
Cambridge,986,Cambridge United,3,87.33,72
Braunschweig,23,Eintracht Braunschweig,3,87.33,71
Bari,332,AS Bari,3,87.33,73
Triestina,4271,US Triestina,3,87.33,86
Westerlo,968,KVC Westerlo,3,87.33,80
Kavala,3391,AO Kavala,3,87.33,80
Panserraikos,3385,Panserraikos,3,87.33,100
Excelsior,798,SBV Excelsior,3,87.42,82
Telstar,1434,SC Telstar,3,87.42,82
Xanthi,128,Skoda Xanthi,3,87.42,67
Ried,266,SV Ried,3,87.5,73
Ruch,318,Ruch Chorzow,3,87.5,50
FK Anzi Makhackala,2700,Anzhi Makhachkala,3,87.5,86
Birmingham,337,Birmingham City,3,87.5,80
Cittadella,4084,AS Cittadella,3,87.5,87
Lorca,34559,Lorca FC,3,87.5,77
Waalwijk,235,RKC Waalwijk,3,87.5,80
Tranmere,1074,Tranmere Rovers,3,87.58,70
Valladolid,366,Real Valladolid CF,3,87.58,71
Girona,12321,Girona FC,3,87.58,80
Lugo,11000,CD Lugo,3,87.58,73
Metz,347,FC Metz,3,87.58,73
Angers,1420,Angers SCO,3,87.58,75
Charleroi,172,Royal Charleroi SC,3,87.58,67
Monterrey,2407,CF Monterrey,3,87.67,86
Lobos BUAP,13357,Lobos BUAP (- 2019),3,87.67,69
Burgos,1536,Burgos CF,3,87.67,80
River Plate,209,CA River Plate,3,87.75,88
Fredrikstad,3837,Fredrikstad FK,3,87.75,88
Varberg,10507,Varbergs BoIS,3,87.75,70
Bielefeld,10,Arminia Bielefeld,3,87.75,69
Aalen,83,VfR Aalen,3,87.75,71
Frosinone,8970,Frosinone Calcio,3,87.75,72
Monza,2919,AC Monza,3,87.75,77
Mirandes,13222,CD Mirandés,3,87.75,74
Famalicao,3329,FC Famalicão,3,87.75,76
OFI Crete,653,OFI Crete FC,3,87.75,86
Shandong Luneng,3182,Shandong Luneng Taishan,3,87.83,79
Okayama,22171,Fagiano Okayama,3,87.83,64
Atl. San Luis,11693,San Luis FC,3,87.83,67
FC Voluntari,40843,FC Voluntari,3,87.83,100
Lausanne Ouchy,5499,FC Stade-Lausanne-Ouchy,3,87.83,70
Burton,2963,Burton Albion,3,87.83,63
Hamburg,41,Hamburger SV,3,87.83,74
Ein Frankfurt,24,Eintracht Frankfurt,3,87.83,81
Tondela,7179,CD Tondela,3,87.83,82
Hartberg,4467,TSV Hartberg,3,87.92,80
Shanghai SIPG,27190,Shanghai East Asia,3,87.92,71
Fulham,931,Fulham FC,3,87.92,80
Milan,5,AC Milan,3,87.92,77
Siena,1387,AC Siena,3,87.92,77
Olhanense,4750,SC Olhanense,3,87.92,86
Panathinaikos,265,Panathinaikos FC,3,87.92,90
Stromsgodset,2817,Strømsgodset IF,3,88,81
Gloria Buzau,11380,SCM Gloria Buzau,3,88,86
Hacken,1109,BK Häcken,3,88,67
Young Boys,452,BSC Young Boys,3,88,83
Coventry,990,Coventry City,3,88,76
Stenhousemuir,3012,Stenhousemuir FC,3,88,90
Elche,1531,Elche CF,3,88,77
Verdy,3734,Tokyo Verdy,3,88.08,62
Necaxa,1146,Club Necaxa,3,88.08,71
Sandefjord,6399,Sandefjord Fotball,3,88.08,71
Arka Gdynia,6107,Arka Gdynia,3,88.08,100
Sochi,41231,FC Sochi,3,88.08,77
Varese,4361,Varese 1910,3,88.08,71
Virtus Lanciano,4718,SS Virtus Lanciano,3,88.08,91
St. Gilloise,3948,Union Saint-Gilloise,3,88.08,62
Start,267,IK Start,3,88.17,77
Ipswich,677,Ipswich Town,3,88.17,74
Northampton,1302,Northampton Town,3,88.17,81
Levadeiakos,2672,APO Levadiakos,3,88.17,80
Hobro,5818,Hobro IK,3,88.25,77
Everton,29,Everton FC,3,88.25,82
Yeovil,972,Yeovil Town,3,88.25,71
Lorient,1158,FC Lorient,3,88.25,82
Besiktas,114,Besiktas JK,3,88.25,84
Feyenoord ,234,Feyenoord Rotterdam,1,88.25,64
Guizhou Zhicheng,36628,Guizhou Hengfeng Zhicheng,3,88.33,78
Sirius,7945,IK Sirius,3,88.33,80
Blackburn,164,Blackburn Rovers,3,88.33,72
St Johnstone,2578,St. Johnstone FC,3,88.33,86
Empoli,749,FC Empoli,3,88.33,80
Guingamp,855,EA Guingamp,3,88.33,84
Penafiel,3327,FC Penafiel,3,88.33,84
Central Cordoba,31284,CA Central Córdoba (SdE),3,88.42,72
Kristiansund,21101,Kristiansund BK,3,88.42,89
Gornik Z.,428,Górnik Zabrze,3,88.42,64
Tambov,41201,FK Tambov,3,88.42,80
Lugano,2790,FC Lugano,3,88.42,80
Sunderland,289,Sunderland AFC,3,88.42,83
Southampton,180,Southampton FC,3,88.42,88
Celtic,371,Celtic FC,3,88.42,80
Crotone,4083,FC Crotone,3,88.42,82
Evian Thonon Gaillard,14171,FC Évian Thonon Gaillard,3,88.42,89
Groningen,202,FC Groningen,3,88.42,86
Kortrijk,601,KV Kortrijk,3,88.42,84
Karabukspor,1506,Kardemir DC Karabükspor,3,88.42,59
Lokomotiv Moscow,932,Lokomotiv Moskau,3,88.5,81
Osters,1236,Östers IF,3,88.5,67
Peterboro,1072,Peterborough United,3,88.5,64
