Date,HomeTeam,AwayTeam,FTHG,FTAG,league_code,tm_code,home_club_id,home_club_name,away_club_id,away_club_name,tm_match_id,match_confidence,matches_found
2021-05-04,Forfar,East Fife,2.0,3.0,SC2,SC3,,,,,,0,0
2022-11-09,Fortaleza,Bragantino,6.0,0.0,BRA,BRA1,,,,,,0,4
2022-12-25,Galatasaray,Istanbulspor,2.0,1.0,T1,TR1,,,,,,0,0
2021-11-07,Galway,Bray,0.0,1.0,IRL,IR1,,,,,,0,0
2022-05-06,Gaz Metan Medias,Academica Clinceni,4.0,3.0,ROU,RO1,,,,,,0,0
2022-12-25,Gaziantep,Besiktas,1.0,1.0,T1,TR1,,,,,,0,0
2021-05-11,Genclerbirligi,Goztep,5.0,3.0,T1,TR1,,,,,,0,0
2022-10-20,Gimnasia L.P.,Boca Juniors,1.0,2.0,ARG,ARG1,,,,,,0,0
2022-12-29,Giresunspor,Gaziantep,2.0,1.0,T1,TR1,,,,,,0,0
2022-10-16,Godoy Cruz,Patronato,0.0,1.0,ARG,ARG1,,,,,,0,0
2022-05-15,Goztep,Besiktas,0.0,2.0,T1,TR1,,,,,,0,0
2020-11-12,Guangzhou Evergrande,Jiangsu Suning,1.0,2.0,CHN,CSL,,,,,,0,0
2020-11-06,Guangzhou R&F,Dalian Pro,0.0,3.0,CHN,CSL,,,,,,0,0
2022-10-08,HIFK,Mariehamn,2.0,3.0,FIN,FI1,,,,,,0,0
2022-10-16,HJK,KuPS,0.0,1.0,FIN,FI1,,,,,,0,0
2022-10-30,Haka,VPS,1.0,2.0,FIN,FI1,,,,,,0,0
2021-12-14,Halmstad,Helsingborg,1.0,3.0,SWE,SE1,,,,,,0,0
2022-11-11,Hamilton,Ayr,2.0,3.0,SC1,SC2,,,,,,0,0
2022-12-24,Hatayspor,Giresunspor,1.0,1.0,T1,TR1,,,,,,0,0
2022-12-30,Hebei,Henan Songshan Longmen,0.0,4.0,CHN,CSL,,,,,,0,1
2018-05-17,Helsingor,Silkeborg,1.0,1.0,DNK,DK1,,,,,,0,0
2020-07-13,Hobro,Lyngby,1.0,2.0,DNK,DK1,,,,,,0,0
2022-10-16,Honka,Haka,1.0,1.0,FIN,FI1,,,,,,0,0
2022-10-19,Huracan,Platense,2.0,0.0,ARG,ARG1,,,,,,0,0
2022-10-09,Ilves,Lahti,1.0,0.0,FIN,FI1,,,,,,0,0
2022-10-16,Independiente,Banfield,1.0,0.0,ARG,ARG1,,,,,,0,0
2022-10-19,Inter Turku,VPS,1.0,5.0,FIN,FI1,,,,,,0,0
2022-12-03,Inverness C,Dundee,0.0,1.0,SC1,SC2,,,,,,0,0
2022-12-26,Ipswich,Oxford,3.0,0.0,E2,GB3,,,,,,0,17
2022-12-28,Istanbulspor,Kasimpasa,2.0,1.0,T1,TR1,,,,,,0,0
2017-10-28,JJK Jyvaskyla,VPS,2.0,0.0,FIN,FI1,,,,,,0,0
2015-10-18,Jaro,Lahti,1.0,1.0,FIN,FI1,,,,,,0,0
2020-11-08,Jiangsu Suning,Guangzhou Evergrande,0.0,0.0,CHN,CSL,,,,,,0,0
2020-12-09,Jonkopings,Kalmar,1.0,3.0,SWE,SE1,,,,,,0,0
2019-10-27,KPV Kokkola,TPS,0.0,3.0,FIN,FI1,,,,,,0,0
2021-10-27,KTP,Haka,2.0,4.0,FIN,FI1,,,,,,0,0
2022-12-28,Karagumruk,Trabzonspor,4.0,1.0,T1,TR1,,,,,,0,0
2022-12-24,Kasimpasa,Sivasspor,1.0,2.0,T1,TR1,,,,,,0,0
2022-11-13,Kayserispor,Konyaspor,1.0,2.0,T1,TR1,,,,,,0,0
2022-12-24,Kelty Hearts,Dunfermline,1.0,2.0,SC2,SC3,,,,,,0,4
2022-11-19,Kongsvinger,Sandefjord,2.0,1.0,NOR,NO1,,,,,,0,0
2022-12-25,Konyaspor,Alanyaspor,2.0,2.0,T1,TR1,,,,,,0,0
2022-10-09,KuPS,Inter Turku,2.0,0.0,FIN,FI1,,,,,,0,0
2016-05-24,Kuban,Tomsk,1.0,0.0,RUS,RU1,,,,,,0,0
